Score,Asian,Black,Hispanic,White
0.0,0.0,0.0007000000000000001,0.0001,0.0001
0.5,0.0013,0.011899999999999999,0.004699999999999999,0.0026
1.0,0.0088,0.0533,0.0222,0.0116
1.5,0.010700000000000001,0.0647,0.0274,0.0143
2.0,0.0132,0.0789,0.0349,0.018000000000000002
2.5,0.0151,0.09269999999999999,0.0404,0.0209
3.0,0.0183,0.11199999999999999,0.050199999999999995,0.0255
3.5,0.022000000000000002,0.1282,0.057699999999999994,0.0296
4.0,0.0248,0.1458,0.066,0.0339
4.5,0.0258,0.1516,0.0692,0.0354
5.0,0.031,0.1772,0.08220000000000001,0.04190000000000001
5.5,0.0349,0.1981,0.0931,0.0472
6.0,0.039,0.21719999999999998,0.1018,0.0528
6.5,0.0408,0.2293,0.10800000000000001,0.0556
7.0,0.044000000000000004,0.2469,0.11939999999999999,0.0611
7.5,0.0472,0.2551,0.12380000000000001,0.0634
8.0,0.050199999999999995,0.2695,0.1318,0.0681
8.5,0.051399999999999994,0.2755,0.136,0.0702
9.0,0.0538,0.2859,0.1409,0.07339999999999999
9.5,0.0553,0.2938,0.1465,0.076
10.0,0.0574,0.3045,0.152,0.0795
10.5,0.0584,0.3116,0.15689999999999998,0.08199999999999999
11.0,0.0625,0.32289999999999996,0.1638,0.0862
11.5,0.0646,0.3333,0.16920000000000002,0.0894
12.0,0.0695,0.35109999999999997,0.18030000000000002,0.0956
12.5,0.0729,0.3607,0.1858,0.0992
13.0,0.0761,0.37200000000000005,0.1936,0.10400000000000001
13.5,0.0797,0.3821,0.19949999999999998,0.1076
14.0,0.084,0.3979,0.21100000000000002,0.11410000000000001
14.5,0.0868,0.4075,0.21760000000000002,0.1175
15.0,0.0909,0.4207,0.2262,0.1229
15.5,0.09449999999999999,0.4291,0.2321,0.1261
16.0,0.0975,0.4404,0.2402,0.1309
16.5,0.1005,0.44880000000000003,0.2469,0.1343
17.0,0.1032,0.4583,0.25489999999999996,0.1384
17.5,0.10529999999999999,0.4658,0.2597,0.1413
18.0,0.1096,0.474,0.2662,0.1456
18.5,0.11109999999999999,0.4807,0.271,0.1484
19.0,0.1151,0.4876,0.2778,0.1524
19.5,0.11800000000000001,0.4929,0.2821,0.155
20.0,0.12369999999999999,0.5305,0.3031,0.1654
20.5,0.1268,0.5404,0.3093,0.16879999999999998
21.0,0.13019999999999998,0.5524,0.319,0.17370000000000002
21.5,0.1324,0.5589999999999999,0.3231,0.1764
22.0,0.136,0.5676,0.3301,0.1807
22.5,0.139,0.5737,0.33549999999999996,0.1838
23.0,0.1419,0.5820000000000001,0.34240000000000004,0.1877
23.5,0.1441,0.5886,0.3506,0.1913
24.0,0.1495,0.6,0.3619,0.1973
24.5,0.152,0.6062,0.368,0.2009
25.0,0.1551,0.6145,0.3768,0.2054
25.5,0.1572,0.6208,0.38170000000000004,0.2084
26.0,0.1618,0.6293,0.3895,0.2127
26.5,0.16620000000000001,0.6354,0.39649999999999996,0.2167
27.0,0.171,0.6439,0.406,0.2227
27.5,0.174,0.65,0.4128,0.2262
28.0,0.179,0.6585,0.42210000000000003,0.23190000000000002
28.5,0.1827,0.6640999999999999,0.4293,0.23550000000000001
29.0,0.1893,0.6728000000000001,0.4401,0.24280000000000002
29.5,0.1916,0.6765000000000001,0.4454,0.24710000000000001
30.0,0.1973,0.6837000000000001,0.4532,0.25239999999999996
