,LSAT,UGPA,ZFYA,race,sex,score,label
0,39.0,3.1,-0.98,1,1,0.8724131,1.0
1,36.0,3.0,0.09,1,1,0.94115776,1.0
2,30.0,3.1,-0.35,1,0,0.9323283,1.0
4,37.0,3.4,-1.26,1,1,0.75399876,1.0
5,30.5,3.6,0.3,1,1,0.978219,1.0
6,36.0,3.6,-0.1,1,0,0.96467286,1.0
7,37.0,2.7,-0.12,1,0,0.9006358,0.0
8,37.0,2.6,1.53,1,1,0.9695032,1.0
9,31.0,3.6,0.34,1,0,0.95446473,1.0
10,41.0,3.2,1.53,1,0,0.98495495,1.0
11,35.0,3.1,-0.68,1,0,0.86895084,1.0
12,35.0,3.2,-0.17,1,1,0.78990054,1.0
13,35.0,2.9,-0.42,1,0,0.87104106,1.0
14,41.0,2.3,-0.35,1,0,0.89901143,1.0
15,30.5,3.3,0.85,1,0,0.9846309,1.0
16,36.0,3.0,0.04,1,1,0.86881024,1.0
17,40.0,3.9,2.48,1,0,0.9998934,1.0
18,36.0,3.4,0.27,1,0,0.984298,1.0
19,29.0,2.7,0.88,1,0,0.9421246,1.0
20,37.0,3.2,0.58,1,0,0.9087148,1.0
21,30.0,3.1,1.99,1,0,0.9973055,1.0
22,40.0,3.1,-0.8,1,0,0.9570065,1.0
24,37.0,3.6,0.81,1,1,0.99804735,1.0
25,29.0,2.8,-1.03,0,0,0.61066175,1.0
26,34.0,2.8,-0.12,1,0,0.892814,1.0
27,35.0,3.0,-0.61,1,0,0.86198926,1.0
28,40.0,3.4,-0.73,1,0,0.9120856,1.0
29,36.0,2.6,-0.63,1,0,0.87961197,1.0
30,29.0,2.9,-0.02,1,0,0.9635216,1.0
31,35.0,2.5,0.02,1,0,0.8702894,1.0
32,32.0,3.4,0.65,1,0,0.95981526,1.0
33,36.0,2.7,-0.05,1,1,0.8182241,1.0
34,36.0,3.3,0.53,1,0,0.9913299,1.0
35,36.0,2.5,-1.1,1,0,0.5278991,0.0
36,38.0,3.6,1.41,1,0,0.9995999,1.0
37,36.0,3.6,1.18,1,0,0.99621296,1.0
38,32.5,3.2,0.76,1,0,0.9679796,1.0
39,27.0,3.5,-1.05,1,1,0.53931063,0.0
40,36.0,2.4,0.39,1,0,0.97169334,1.0
41,19.0,3.2,-0.7,0,1,0.34105346,0.0
42,34.0,3.7,1.23,1,1,0.9998266,1.0
43,35.0,3.1,1.71,1,1,0.9978703,1.0
45,36.0,2.8,-0.17,1,0,0.9111678,1.0
47,38.0,3.7,-0.05,1,1,0.9728309,1.0
48,34.0,3.2,0.37,1,0,0.9645166,1.0
49,38.0,2.8,0.44,1,0,0.9739648,1.0
50,36.0,3.4,0.46,1,1,0.98335636,1.0
51,42.0,3.5,-0.42,1,1,0.9861044,1.0
52,29.0,2.3,-0.93,1,0,0.664657,0.0
53,31.0,3.7,-0.49,1,0,0.958658,1.0
54,23.0,2.6,0.48,0,1,0.8746178,1.0
55,37.0,3.8,0.72,1,0,0.98080647,1.0
56,33.0,3.3,-1.24,1,1,0.79072785,1.0
57,35.0,3.3,-0.7,1,0,0.8582194,1.0
58,36.0,3.2,0.83,1,0,0.97992116,1.0
59,35.5,2.4,-0.63,1,0,0.87116194,1.0
60,41.0,3.4,-0.05,1,0,0.9835782,1.0
61,34.0,3.5,0.55,1,1,0.97358537,1.0
63,29.0,3.3,-0.98,1,0,0.4178856,0.0
64,33.0,3.3,1.27,1,1,0.9866035,1.0
65,32.0,2.9,-0.62,1,0,0.8886738,1.0
66,39.0,2.3,0.51,1,0,0.9840111,1.0
68,39.0,3.4,-0.56,1,1,0.9150716,1.0
69,39.0,3.0,-0.42,1,1,0.93077224,1.0
70,32.0,3.8,-0.08,1,1,0.94981927,1.0
71,29.0,3.3,-1.19,1,0,0.38471398,0.0
72,31.0,3.0,-1.07,1,0,0.7388637,1.0
73,36.0,3.3,-0.49,1,1,0.93111944,1.0
74,27.0,2.4,-1.66,0,0,0.33353823,0.0
75,30.0,3.5,1.39,1,0,0.99969316,1.0
76,38.0,3.5,2.78,1,0,0.99982965,1.0
77,34.0,2.8,-0.63,1,1,0.8741711,1.0
78,37.0,3.7,1.32,1,0,0.9990964,1.0
80,43.0,3.0,0.1,1,0,0.96598977,1.0
81,42.0,2.9,-0.62,1,0,0.9509094,1.0
82,33.5,3.4,0.69,1,0,0.9903301,1.0
83,25.0,2.9,-0.9,1,0,0.5490121,1.0
84,38.0,3.4,1.23,1,1,0.99419135,1.0
85,42.0,3.6,0.7,1,0,0.993356,1.0
86,37.0,3.5,-1.64,1,0,0.5595276,1.0
87,29.5,3.5,-0.24,1,0,0.947486,1.0
88,41.0,3.1,-0.05,1,0,0.9682386,1.0
89,38.0,3.6,-1.0,1,1,0.9639542,1.0
90,42.0,3.2,-0.22,1,1,0.949588,1.0
91,35.5,3.3,2.26,1,1,0.9983437,1.0
92,36.0,3.6,-0.85,1,1,0.876775,1.0
93,39.0,3.5,-0.71,1,1,0.9289459,1.0
94,28.0,2.9,-1.96,1,0,0.3969331,0.0
95,42.0,3.3,-1.13,1,1,0.8918555,1.0
96,43.0,3.5,0.74,1,1,0.9962064,1.0
97,43.0,3.1,0.29,1,0,0.97289,1.0
98,35.0,3.2,-0.66,1,0,0.84716207,1.0
99,40.0,3.7,-0.43,1,0,0.98020685,1.0
100,42.0,2.5,-0.41,1,1,0.8191653,1.0
101,42.0,2.7,-0.02,1,1,0.93544453,1.0
102,40.0,3.7,0.21,1,1,0.9893127,1.0
103,38.0,3.5,1.61,1,1,0.9997563,1.0
104,40.0,3.3,-0.96,1,0,0.92319953,1.0
105,39.0,3.5,0.98,1,1,0.99695563,1.0
106,36.0,3.6,-0.58,1,1,0.9388062,1.0
107,38.0,3.6,-0.28,1,1,0.97268176,1.0
108,36.0,3.0,-1.19,1,0,0.84952384,1.0
109,39.0,3.2,-1.34,1,0,0.8094201,1.0
110,37.0,3.9,0.55,1,1,0.98349035,1.0
111,31.5,2.7,0.58,1,0,0.9493736,1.0
112,41.0,4.0,2.44,1,1,0.99960047,1.0
113,41.0,3.0,-1.45,1,0,0.848786,1.0
114,36.0,3.3,1.04,1,1,0.98422617,1.0
115,35.0,3.8,-1.11,1,0,0.78945816,1.0
116,39.0,3.7,-1.58,1,1,0.8119072,1.0
117,37.0,3.8,0.4,1,1,0.99290943,1.0
118,37.0,3.1,-0.51,1,0,0.872961,1.0
119,36.0,3.8,-0.66,1,0,0.90246284,0.0
120,40.0,3.3,-0.77,1,0,0.93672127,1.0
121,45.0,3.3,0.64,1,1,0.9976273,1.0
122,35.0,2.6,0.02,1,0,0.82887393,1.0
123,37.0,3.6,-0.02,1,1,0.99046636,1.0
124,40.0,3.8,0.64,1,0,0.99039245,1.0
125,39.0,3.4,0.4,1,0,0.9648067,1.0
126,33.0,3.9,0.59,1,0,0.8803843,1.0
127,40.0,3.6,0.55,1,0,0.9947789,1.0
128,38.0,3.8,0.55,1,0,0.9966893,1.0
129,41.0,3.3,0.64,1,1,0.9940367,1.0
130,34.0,2.9,-0.25,1,0,0.8913118,1.0
131,40.0,3.1,1.08,1,0,0.99636346,1.0
133,40.0,3.2,1.89,1,1,0.9994307,1.0
134,32.5,3.4,-0.17,1,0,0.90181273,1.0
135,41.0,3.4,0.17,1,1,0.98301965,1.0
136,37.0,3.5,-0.13,1,1,0.9631141,1.0
137,41.0,3.3,1.51,1,0,0.98674834,1.0
138,39.0,3.6,-0.66,1,1,0.9670144,1.0
139,38.0,3.5,0.42,1,0,0.992148,1.0
140,42.0,3.1,0.68,1,0,0.99611133,1.0
141,37.0,3.6,1.27,1,1,0.99921966,1.0
142,32.0,2.8,-1.28,0,1,0.78946424,1.0
143,39.0,3.6,-0.22,1,1,0.9595286,1.0
144,32.0,2.8,-1.09,1,1,0.72046363,1.0
145,41.0,3.1,-0.51,1,0,0.85039496,1.0
146,36.0,3.7,0.17,1,1,0.9640541,1.0
147,38.0,3.4,-1.19,1,0,0.9215363,1.0
148,34.0,3.3,1.02,1,0,0.99627894,1.0
149,38.0,3.6,0.36,1,0,0.99284947,1.0
150,43.0,2.9,0.59,1,0,0.9926674,1.0
151,35.0,3.7,0.64,1,1,0.9865745,1.0
153,37.0,3.9,1.36,1,1,0.99954164,1.0
154,40.0,3.2,0.59,1,0,0.9593798,1.0
155,45.0,3.2,1.57,1,1,0.9975803,1.0
156,39.5,3.3,0.55,1,0,0.9947977,1.0
157,40.0,3.3,2.15,1,0,0.9983966,1.0
158,38.0,3.4,-1.0,1,1,0.95028126,1.0
159,40.0,3.4,1.36,1,0,0.9963934,1.0
161,36.0,3.7,0.1,1,0,0.961138,1.0
162,30.0,3.5,-1.75,1,1,0.7069937,1.0
163,37.0,3.7,0.74,1,0,0.9791045,1.0
166,36.0,2.7,-0.36,1,0,0.900788,1.0
167,35.0,2.9,1.25,1,1,0.99626285,1.0
168,28.5,3.2,0.57,1,1,0.94087183,1.0
169,39.0,2.4,0.16,1,0,0.82791823,1.0
170,41.0,3.9,1.17,1,1,0.9974947,1.0
